,Fold selected features,Fold nb of features
Fold 82,"['CCL20', 'CPA2', 'CRTAC1', 'MDGA1']",4
Fold 83,"['MDGA1', 'PON3']",2
Fold 84,"['CCL20', 'CRTAC1', 'HLA-DRA', 'MDGA1']",4
Fold 85,"['MDGA1', 'MZB1']",2
Fold 86,"['CCL20', 'MZB1', 'NDRG1']",3
Fold 87,"['CPA2', 'JUN', 'MZB1', 'PON3']",4
Fold 88,"['CCL20', 'CRTAC1', 'MDGA1']",3
Fold 89,"['CCL15', 'CRTAC1', 'MDGA1']",3
Fold 90,"['CCL20', 'MDGA1']",2
Fold 91,"['CCL20', 'MZB1', 'PON3']",3
Fold 92,"['CCL15', 'MDGA1']",2
Fold 93,['MZB1'],1
Fold 94,"['CCL20', 'CDHR1', 'CRTAC1', 'MZB1']",4
Fold 95,"['CCL20', 'CRTAC1', 'MDGA1', 'MZB1', 'XPNPEP2']",5
Fold 96,"['CCL20', 'CRTAC1', 'FOSB', 'MDGA1', 'MZB1', 'PDGFC']",6
Fold 97,"['CPA2', 'CRTAC1']",2
Fold 98,"['CCL20', 'S100A16']",2
Fold 99,"['MDGA1', 'MZB1']",2
