,Fold selected features,Fold nb of features
Fold 33,"['ACP6', 'ADGRG2', 'AMY2A', 'AMY2B', 'ANGPTL3', 'ANXA3', 'AOC1', 'APLP1', 'ARHGAP25', 'ASAH2', 'BAIAP2', 'BST1', 'C19orf12', 'CA4', 'CASP1', 'CCL15', 'CCL17', 'CCL19', 'CCL20', 'CCL7', 'CD22', 'CD63', 'CDHR1', 'CDHR5', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CLEC11A', 'COL9A1', 'CPA2', 'CPVL', 'CRTAC1', 'CSF2RA', 'CTSH', 'CXCL8', 'DAPP1', 'DKKL1', 'DLL1', 'DSG4', 'ENPP7', 'FCGR2B', 'FCGR3B', 'FCN2', 'FCRL5', 'FCRLB', 'FGF21', 'FOSB', 'FUCA1', 'GAL', 'GFRA2', 'GGT5', 'GH2', 'GNLY', 'GPA33', 'GPKOW', 'GRN', 'GUCA2A', 'GZMA', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGSF3', 'IL11', 'IL13RA1', 'IL2', 'IL2RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'LAMA4', 'LILRB1', 'MDGA1', 'MET', 'MIA', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NFASC', 'NGF', 'NINJ1', 'NOMO1', 'NRP1', 'OXT', 'PCSK9', 'PDGFC', 'PLA2G10', 'PM20D1', 'PPY', 'PRKRA', 'PSIP1', 'RAB6B', 'RANGAP1', 'RARRES1', 'RASSF2', 'RBP2', 'S100A11', 'S100A16', 'SCG2', 'SDC1', 'SELE', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SPINK6', 'SPINT1', 'SPOCK1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF8', 'TSHB', 'VWA1', 'WFIKKN1', 'XPNPEP2']",126
Fold 34,"['CCL7', 'CRTAC1', 'LGALS1', 'MSR1', 'MZB1', 'PIGR']",6
Fold 35,"['ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AIFM1', 'ALPP', 'AMY2A', 'AMY2B', 'ANGPTL3', 'AOC1', 'BSG', 'CALB2', 'CAMKK1', 'CCL20', 'CD109', 'CD164', 'CD38', 'CD63', 'CDHR1', 'CES2', 'CHIT1', 'CHL1', 'CLUL1', 'COLEC12', 'CRTAC1', 'CSF2RA', 'CTSF', 'CTSL', 'CXCL8', 'DKK4', 'DNER', 'DSG2', 'ERBB3', 'ERP44', 'FABP4', 'FASLG', 'FCN2', 'FCRLB', 'FGF21', 'FOSB', 'GDF15', 'GFRA2', 'GGT5', 'GRN', 'HDGF', 'HLA-DRA', 'HSP90B1', 'IGF2R', 'IL11', 'IL17C', 'IL20', 'IL22RA1', 'IL24', 'IL2RB', 'ISM1', 'KIR2DL3', 'KLB', 'KLK10', 'LAMA4', 'LGALS1', 'LHB', 'LRPAP1', 'LTA', 'LYPD1', 'MDGA1', 'MILR1', 'MME', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NDUFS6', 'NELL2', 'NPTN', 'NTF4', 'PCOLCE', 'PDGFC', 'PM20D1', 'PNLIPRP2', 'PON3', 'PPY', 'PRL', 'PRSS8', 'PSIP1', 'RANGAP1', 'S100A16', 'SEZ6L2', 'SPINT1', 'SRP14', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'WIF1', 'XPNPEP2']",100
Fold 36,"['CCL20', 'CCL7', 'MZB1', 'SPINT1']",4
Fold 37,"['BAIAP2', 'CCL20', 'CNTN5', 'CXCL8', 'DSG4', 'LGALS1', 'LRRC25', 'MZB1', 'PLAUR', 'TIMP1', 'TNFRSF8']",11
Fold 38,"['ACE2', 'ADAM15', 'BAIAP2', 'CASP1', 'CCL19', 'CCL20', 'CD163', 'CD5', 'CELA3A', 'CHIT1', 'CLC', 'CPA2', 'CRISP2', 'CRTAC1', 'CTSH', 'DKKL1', 'EPCAM', 'FCRL5', 'FOSB', 'GAL', 'GH2', 'GPA33', 'GZMA', 'HLA-DRA', 'IFNGR2', 'IFNLR1', 'IGF2R', 'IL12RB1', 'IL15RA', 'IL17RA', 'IL17RB', 'IL18RAP', 'IL22RA1', 'IL32', 'IL33', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLRD1', 'LGALS1', 'LILRB1', 'MDGA1', 'MUC13', 'MZB1', 'NCAM2', 'NFASC', 'NRP1', 'OXT', 'PDCD1', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PRTG', 'RAB6B', 'RBP2', 'S100A11', 'SAMD9L', 'SDC1', 'SELPLG', 'SEZ6L2', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SSB', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF4', 'TNFRSF8', 'TSLP', 'XPNPEP2']",76
Fold 39,"['CCL19', 'CCL20', 'CES2', 'CRTAC1', 'DKKL1', 'DSG4', 'GNLY', 'HDGF', 'IL16', 'KCNIP4', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PSIP1', 'RANGAP1', 'TMPRSS5', 'XPNPEP2', 'XRCC4']",20
Fold 40,"['CCL7', 'MZB1', 'TNFRSF10A']",3
Fold 41,"['ACE2', 'ACP5', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AKR1C4', 'AMY2A', 'AMY2B', 'ANGPT2', 'ANGPTL2', 'ANGPTL7', 'ANXA5', 'AOC1', 'ARNT', 'ATP6V1D', 'BAIAP2', 'BPIFB1', 'BSG', 'BST1', 'CA5A', 'CCL20', 'CD276', 'CDHR1', 'CEACAM3', 'CEACAM5', 'CES2', 'CHL1', 'CLEC4G', 'COLEC12', 'CPA1', 'CPA2', 'CRTAC1', 'CRX', 'CSF2RA', 'CTSH', 'CXCL14', 'DKK1', 'DKKL1', 'DLL1', 'DNER', 'DPT', 'DSG4', 'EDIL3', 'EPCAM', 'EREG', 'FABP1', 'FABP4', 'FABP9', 'FASLG', 'FCN2', 'FCRLB', 'FOSB', 'FST', 'FUT3_FUT5', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GP2', 'GPA33', 'GPKOW', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL10RA', 'IL11', 'IL17C', 'IL17D', 'IL22RA1', 'IL2RB', 'IL32', 'IL33', 'IL5RA', 'IL7R', 'INHBC', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLK11', 'KLRB1', 'KLRD1', 'LAMA4', 'LEPR', 'LILRA5', 'LILRB1', 'LRP11', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MLN', 'MME', 'MUC13', 'MZB1', 'NFATC3', 'NOMO1', 'NPTN', 'NPY', 'NRP1', 'NRP2', 'NTRK3', 'PCSK9', 'PDCD5', 'PDGFC', 'PM20D1', 'PODXL', 'PODXL2', 'POLR2F', 'PON3', 'PPP3R1', 'PPY', 'PSIP1', 'PTH1R', 'PTPN1', 'RANGAP1', 'SCGN', 'SEMA7A', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SSB', 'TDGF1', 'TFRC', 'THBD', 'THPO', 'TLR3', 'TMPRSS15', 'TNC', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TPPP3', 'TPT1', 'TSHB', 'TXLNA', 'VASN', 'WIF1', 'XPNPEP2']",145
Fold 42,['MZB1'],1
Fold 43,"['CCL7', 'LGALS9', 'MZB1']",3
Fold 44,"['ADAMTS13', 'AMY2B', 'AOC1', 'B4GAT1', 'BAIAP2', 'BSG', 'CALB2', 'CCL19', 'CCL20', 'CD200', 'CD276', 'CD63', 'CDH17', 'CES2', 'CHIT1', 'CLEC4C', 'CLPS', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTRB1', 'CTSH', 'DLL1', 'DSG4', 'ENPP7', 'EPCAM', 'FABP4', 'FBP1', 'FCGR2B', 'FCRL5', 'FGF21', 'FOSB', 'GFRA2', 'GFRA3', 'GGT5', 'GP2', 'HBQ1', 'HEBP1', 'HSPB6', 'IFNGR1', 'IGF2R', 'IGSF3', 'IL11', 'IL13', 'IL17F', 'IL17RB', 'IL1RAP', 'IL22RA1', 'IL2RA', 'IL6R', 'ISLR2', 'KCNIP4', 'KLB', 'KLK10', 'LAMA4', 'LGALS1', 'LHB', 'LRP11', 'LY96', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MME', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NDUFS6', 'NEFL', 'NGF', 'NOMO1', 'NOS1', 'NPTN', 'NRP2', 'PCOLCE', 'PDCD5', 'PDGFC', 'PDGFRA', 'PIGR', 'PLIN1', 'PM20D1', 'PRSS8', 'RANGAP1', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK6', 'SPINT1', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TNFSF12', 'TPT1', 'ULBP2', 'VWA1', 'WFIKKN1', 'XPNPEP2']",109
Fold 45,"['ACTN4', 'ADAM15', 'ADAMTS15', 'AMN', 'AMY2B', 'ANXA3', 'AOC1', 'BAIAP2', 'CALB2', 'CCL15', 'CCL19', 'CCL20', 'CDH17', 'CDH5', 'CDHR2', 'CES2', 'CLEC4C', 'CNTN2', 'COL6A3', 'COLEC12', 'COPE', 'CPA2', 'CRTAC1', 'CSTB', 'CTSL', 'DKKL1', 'DPT', 'ENPP7', 'EPCAM', 'FABP4', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FGFBP1', 'GFRA2', 'GFRA3', 'GGH', 'GGT5', 'GH2', 'GNLY', 'GP2', 'GPA33', 'HAVCR2', 'HCLS1', 'HDGF', 'HLA-DRA', 'HMBS', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IL11', 'IL33', 'IL6', 'ISLR2', 'KCNIP4', 'KLB', 'KLRD1', 'LAMA4', 'LGALS1', 'LILRB1', 'LRIG1', 'LRP11', 'LTBP3', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NCLN', 'NGF', 'NOMO1', 'NOS1', 'NPTN', 'NRTN', 'NTRK3', 'NXPH1', 'PAPPA', 'PCOLCE', 'PDGFC', 'PLIN1', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRTG', 'PSIP1', 'PTPRM', 'RANGAP1', 'S100A16', 'SMOC2', 'SNCG', 'SOST', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFPI2', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF4', 'TNFSF12', 'TREM2', 'TSLP', 'ULBP2', 'VWF', 'WFIKKN1', 'XPNPEP2', 'XRCC4']",116
Fold 46,"['ACE2', 'ADAMTS13', 'ADAMTS15', 'ADGRG2', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'CALB2', 'CCL20', 'CD164', 'CD276', 'CD38', 'CD79B', 'CDHR1', 'CES2', 'CHIT1', 'CLUL1', 'CNTN5', 'CRH', 'CRTAC1', 'CTSH', 'CXCL8', 'DPT', 'ERBB3', 'FABP4', 'FCAR', 'FCN2', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'HSP90B1', 'ICAM1', 'IGF2R', 'IGFBPL1', 'IL13', 'IL17C', 'IL24', 'IL2RA', 'IL5', 'JUN', 'KLK12', 'LAMA4', 'LEP', 'LGALS1', 'LILRA5', 'LILRB1', 'LRRC25', 'MAGED1', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NELL2', 'NPTN', 'PIGR', 'PLAUR', 'PON3', 'PPP3R1', 'PPY', 'PSIP1', 'RANGAP1', 'RASA1', 'S100A16', 'SIGLEC9', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'TFRC', 'THPO', 'TMSB10', 'TNFRSF11A', 'TNFRSF13B', 'TNFRSF13C', 'TPT1', 'XPNPEP2']",85
Fold 47,"['ADAMTS13', 'ARNT', 'BAIAP2', 'CCL20', 'CDHR1', 'CES2', 'CHIT1', 'CRTAC1', 'HDGF', 'IL22RA1', 'LAMA4', 'LGALS1', 'LY96', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NOMO1', 'NPTN', 'PPY', 'XPNPEP2']",21
Fold 48,"['ANGPTL2', 'CASP1', 'CRTAC1', 'CTSH', 'DSG4', 'IGF2R', 'LGALS1', 'MDGA1', 'MZB1', 'PLAUR', 'SIGLEC9', 'SRP14', 'TNFRSF8']",13
Fold 49,"['ADAM15', 'ADGRG2', 'ALPP', 'AMY2A', 'AMY2B', 'ANGPTL3', 'ASAH2', 'CAPG', 'CASP1', 'CCL15', 'CCL20', 'CD276', 'CD300C', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CLUL1', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DKK4', 'DLL1', 'DPT', 'DSG2', 'ENG', 'ERBB4', 'FCAR', 'FCN2', 'FCRL6', 'FGF21', 'FOSB', 'FUCA1', 'GAL', 'GDF15', 'GGT5', 'GH1', 'GNLY', 'GPA33', 'GZMH', 'HLA-DRA', 'IGF2R', 'IL11', 'IL12RB1', 'IL13', 'IL13RA1', 'IL16', 'IL1R1', 'IL1RL2', 'IL2', 'IL2RA', 'IL2RB', 'IL5RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK1', 'KLK12', 'KLK14', 'LAMA4', 'LRP11', 'LYPD8', 'MDGA1', 'MICB_MICA', 'MSLN', 'MUC13', 'MZB1', 'NCAM2', 'NINJ1', 'NPTN', 'NRP1', 'PDGFC', 'PM20D1', 'PON3', 'PRTG', 'PSIP1', 'RASSF2', 'RBP2', 'SCARB1', 'SERPINB8', 'SFTPA2', 'SIGLEC9', 'SPINK6', 'SPINT1', 'SPOCK1', 'SRP14', 'TDGF1', 'TFRC', 'THBS2', 'THOP1', 'TIGAR', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TNFSF12', 'TNNI3', 'TP53INP1', 'TSHB', 'TYRO3', 'WISP1', 'XPNPEP2']",106
Fold 50,"['CCL20', 'FOSB', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TMPRSS5', 'TNFRSF8']",9
Fold 51,"['ACE2', 'ACP5', 'ADAMTS13', 'ADAMTS15', 'AOC1', 'B4GAT1', 'BAIAP2', 'CALB2', 'CAPG', 'CCL19', 'CCL20', 'CD276', 'CD63', 'CDH17', 'CDHR1', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'COL4A1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSL', 'CXCL8', 'DKKL1', 'DPT', 'FABP4', 'FASLG', 'FCGR2B', 'FCN2', 'FCRLB', 'FGF21', 'FGF5', 'FOSB', 'FST', 'FUT3_FUT5', 'GDF15', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GP2', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'IGF2R', 'IKBKG', 'IL11', 'IL13', 'IL17D', 'IL17F', 'IL17RB', 'IL22RA1', 'IL24', 'IL2RA', 'IL33', 'ISLR2', 'ISM1', 'KLK1', 'KLK10', 'LAMA4', 'LGALS9', 'LHB', 'LRPAP1', 'LY96', 'LYPD1', 'MAGED1', 'MDGA1', 'MET', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NINJ1', 'NPTN', 'NPTXR', 'NPY', 'NRP2', 'NTF4', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PNLIPRP2', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'PTH1R', 'RANGAP1', 'RARRES1', 'SCGN', 'SIGLEC9', 'SMPDL3A', 'SPINT1', 'SRP14', 'ST3GAL1', 'TANK', 'TDGF1', 'THBS2', 'THPO', 'TIMP3', 'TNFRSF13C', 'TNFRSF4', 'TPT1', 'TSHB', 'TXLNA', 'VWA1', 'XPNPEP2', 'XRCC4']",114
Fold 52,"['ADAMTS16', 'ADGRG2', 'AMY2B', 'ANGPTL2', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'BGN', 'C19orf12', 'CA5A', 'CCL15', 'CCL20', 'CD48', 'CEACAM3', 'CHRDL1', 'CLEC11A', 'CLUL1', 'CNTN1', 'CNTN2', 'CPA2', 'CRTAC1', 'CST5', 'CSTB', 'CTSH', 'CTSL', 'DEFA1_DEFA1B', 'DKKL1', 'DPEP2', 'DPT', 'EPHA1', 'ERBB4', 'FCAR', 'FCER2', 'FCRL5', 'FGF19', 'GFOD2', 'GHRHR', 'HLA-DRA', 'HPGDS', 'IFNGR2', 'IGF2R', 'IL32', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LAIR1', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRA5', 'LILRB1', 'LRRC25', 'LY9', 'LY96', 'LYPD1', 'MAGED1', 'MASP1', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NAMPT', 'NINJ1', 'NOMO1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PPY', 'PRTG', 'RANGAP1', 'SIGLEC10', 'TCL1A', 'TDGF1', 'THBS2', 'THPO', 'TNC', 'TNFRSF11B', 'TNFRSF13C', 'TNFRSF8', 'UMOD', 'WIF1', 'XPNPEP2', 'XRCC4']",86
Fold 53,"['ADAMTS13', 'ADGRG2', 'AFP', 'AHSP', 'AMBP', 'AMIGO2', 'AMY2A', 'ANGPTL3', 'ANXA5', 'AOC1', 'BAIAP2', 'BSG', 'CALB2', 'CAMKK1', 'CCL20', 'CD164', 'CD209', 'CD276', 'CD38', 'CD5', 'CD63', 'CDHR1', 'CES2', 'CGA', 'CHIT1', 'CLPS', 'CLUL1', 'CNTN5', 'COLEC12', 'CPA2', 'CRTAC1', 'CSF2RA', 'CXCL8', 'DPT', 'DSG4', 'EDA2R', 'EPCAM', 'ERBB3', 'FABP4', 'FAP', 'FASLG', 'FCAR', 'FCGR2A', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GLT8D2', 'GPA33', 'GRN', 'HBQ1', 'HCLS1', 'HDGF', 'HMBS', 'HMOX1', 'HSP90B1', 'IGF2R', 'IGFBPL1', 'IL11', 'IL13', 'IL16', 'IL17C', 'IL1A', 'IL22RA1', 'IL2RA', 'IL33', 'ILKAP', 'ING1', 'JCHAIN', 'JUN', 'KIR2DL3', 'KLK12', 'KLK14', 'KRT18', 'L1CAM', 'LAMA4', 'LEP', 'LGALS1', 'LHB', 'LILRA5', 'LILRB1', 'LPO', 'LRPAP1', 'LY9', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MCFD2', 'MDGA1', 'MEGF10', 'MET', 'MUC13', 'MZB1', 'NCAM2', 'NECTIN2', 'NELL2', 'NFKBIE', 'NMNAT1', 'NPTN', 'NPY', 'NTRK3', 'PAEP', 'PCOLCE', 'PDGFC', 'PKLR', 'PLAUR', 'PON3', 'PPY', 'PRL', 'PSIP1', 'PSPN', 'RANGAP1', 'RASA1', 'S100A16', 'SCARB1', 'SIGLEC9', 'SLIT2', 'SPINK1', 'SPINT1', 'SRP14', 'TCL1A', 'TDGF1', 'TFPI2', 'TFRC', 'THPO', 'TNFRSF11A', 'TNFRSF13C', 'TNFRSF8', 'TPT1', 'XG', 'XPNPEP2']",137
Fold 54,"['CCL7', 'LGALS9', 'MZB1']",3
Fold 55,"['BAIAP2', 'CCL20', 'CRTAC1', 'DSG4', 'HDGF', 'IGF2R', 'LGALS1', 'MAGED1', 'MDGA1', 'MUC13', 'MZB1', 'SMOC2', 'TNC', 'XPNPEP2']",14
Fold 56,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'AGR3', 'AOC1', 'ATP6V1D', 'BAIAP2', 'BSG', 'CALB2', 'CAPG', 'CCL20', 'CCL26', 'CD33', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLC', 'CLEC4G', 'CLPS', 'COL4A1', 'CPA2', 'CRELD2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DNER', 'ECE1', 'ERBB3', 'EREG', 'F3', 'FABP2', 'FABP4', 'FASLG', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FGF21', 'FOSB', 'GCG', 'GFAP', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GRN', 'HCLS1', 'HEBP1', 'HLA-DRA', 'HMOX2', 'ICAM5', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IL11', 'IL13', 'IL22RA1', 'IL2RB', 'IL33', 'KCNIP4', 'KLB', 'KLK1', 'KLK10', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRA5', 'LTA', 'LY96', 'MDGA1', 'MDK', 'MET', 'MGMT', 'MSLN', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NECTIN2', 'NEFL', 'NELL2', 'NINJ1', 'NPTN', 'NPTXR', 'NRP2', 'NTF3', 'NXPH1', 'PCOLCE', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PNLIPRP2', 'PODXL2', 'POLR2F', 'PPY', 'PRL', 'PSIP1', 'RARRES1', 'RBP2', 'S100A16', 'SEZ6L2', 'SIGLEC7', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'SUMF2', 'TACSTD2', 'TDGF1', 'TFPI2', 'THPO', 'TIMD4', 'TNFRSF13C', 'TNFRSF4', 'TPT1', 'TSHB', 'ULBP2', 'VTCN1', 'VWA1', 'XPNPEP2']",131
Fold 57,"['ADAM15', 'ADGRG1', 'ADGRG2', 'ALPP', 'AMBN', 'AMY2A', 'AMY2B', 'ANGPTL3', 'BAIAP2', 'CCL14', 'CCL15', 'CCL20', 'CD164', 'CD63', 'CD79B', 'CDH5', 'CEACAM5', 'CES2', 'CLC', 'CNTN1', 'CPA2', 'CRTAC1', 'CTSD', 'CTSH', 'CTSL', 'DKKL1', 'DLL1', 'ENPP7', 'EPCAM', 'EPHA1', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FCRL6', 'FCRLB', 'FGF21', 'FOSB', 'FUCA1', 'FXYD5', 'GFRA3', 'GGT5', 'GH2', 'GNLY', 'GPA33', 'HDGF', 'IGF2R', 'IGFBPL1', 'IL11', 'IL12RB1', 'IL15RA', 'IL18RAP', 'IL1A', 'IL32', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK14', 'KRT18', 'LAIR2', 'LGALS9', 'LILRB1', 'LILRB2', 'LILRB5', 'LRP11', 'LY9', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NEFL', 'NINJ1', 'NOMO1', 'NPY', 'NRP2', 'OXT', 'PLAUR', 'PM20D1', 'PON3', 'PRSS8', 'PRTG', 'RANGAP1', 'RASSF2', 'RGMA', 'SDC1', 'SIGLEC1', 'SIGLEC10', 'SIGLEC7', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF8', 'ULBP2', 'VWA1', 'XPNPEP2']",103
Fold 58,"['CAPG', 'CCL20', 'CRTAC1', 'CSTB', 'EGLN1', 'MSR1', 'MZB1']",7
Fold 59,"['ACP6', 'ADAMTS13', 'AKR1C4', 'ANGPTL3', 'AOC1', 'B4GAT1', 'BAIAP2', 'C19orf12', 'CA6', 'CCL20', 'CD200', 'CD34', 'CD38', 'CD63', 'CDC27', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CLEC4C', 'CLPS', 'CLUL1', 'CNTN5', 'COL4A1', 'CRLF1', 'CRTAC1', 'CTRB1', 'CXCL8', 'DCTPP1', 'DKKL1', 'DPT', 'DSG4', 'FABP4', 'FBP1', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GFAP', 'GFRA2', 'GGT5', 'GPA33', 'GRN', 'HBQ1', 'HDGF', 'ICAM1', 'IDUA', 'IGFBPL1', 'IL13', 'IL17C', 'IL1RAP', 'IL24', 'IL2RA', 'IL33', 'IL5', 'ISLR2', 'KCNIP4', 'KLK12', 'L1CAM', 'LAMA4', 'LGALS1', 'LGALS9', 'LHB', 'LILRB1', 'LRRC25', 'LTBP3', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MSLN', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NELL2', 'NOMO1', 'NPTN', 'NPY', 'NTRK3', 'PDGFC', 'PDGFRA', 'PIGR', 'PLA2G7', 'PNLIPRP2', 'PON2', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'RANGAP1', 'RARRES1', 'S100A16', 'SCARB1', 'SEZ6L2', 'SIGLEC9', 'SPINT1', 'SRP14', 'SSB', 'STC2', 'TDGF1', 'TFPI2', 'TFRC', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF6B', 'TNFRSF8', 'TPT1', 'TSLP', 'VWF', 'WFIKKN2', 'XPNPEP2', 'XRCC4']",119
Fold 60,"['CCL7', 'CRTAC1', 'FOSB', 'GZMA', 'LGALS1', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'PIGR', 'PON3', 'TNFRSF8']",12
Fold 61,['MZB1'],1
Fold 62,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'ALPP', 'AMY2B', 'ANGPTL2', 'AOC1', 'ARNT', 'B4GAT1', 'C19orf12', 'CA5A', 'CALB2', 'CARHSP1', 'CCL20', 'CEACAM3', 'CES2', 'CHIT1', 'CNTN1', 'CNTNAP2', 'COL4A1', 'CPA2', 'CR2', 'CRTAC1', 'CSF1', 'CTSB', 'CTSF', 'CTSH', 'CTSL', 'DPT', 'DSG2', 'DSG4', 'ECE1', 'ELOA', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCAR', 'FCN2', 'FCRL5', 'FGF21', 'GFRA2', 'GGT5', 'GLB1', 'GNLY', 'HBQ1', 'HLA-DRA', 'ICAM5', 'IGF2R', 'IL11', 'IL16', 'IL17C', 'IL22RA1', 'IL24', 'IL33', 'ILKAP', 'KCNIP4', 'KLB', 'KLK1', 'KLK10', 'KLK14', 'LAMA4', 'LEP', 'LGALS1', 'LGALS9', 'LRIG1', 'LRPAP1', 'LTO1', 'MDGA1', 'MET', 'MLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPM1', 'NPTN', 'NRP1', 'NRTN', 'NTRK3', 'OMG', 'PCOLCE', 'PDGFC', 'PM20D1', 'PPY', 'PRL', 'PSPN', 'RANGAP1', 'RETN', 'SCGN', 'SLAMF1', 'SMPDL3A', 'SPINT1', 'TFPI2', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSPAN1', 'ULBP2', 'VWA1', 'WIF1', 'WISP2', 'XPNPEP2']",106
Fold 63,[],0
